カード番号,位置,日本語キーワード,読み,英語キーワード,グループ,象意,色,方位,時,カードからのメッセージ,キセキのレシピ,アファメーション
11,②－2,経験,けいけん,Experience,,,,,,あなたが循環を意識すれば、心地よい雰囲気でいることは簡単です。 | 死海には出口がなく循環しません。循環することのない湖の水は命が存在できないほどの塩分の濃さになっています。 | グラウンディング、センタリングは宇宙のエネルギーを循環させます。 | あなたが循環をして宇宙とエネルギーを交換するようになれば、あなたの雰囲気は柔らかく温かくなります。,あなたはあなたの愛を循環させるチャンスに恵まれています。 | あなたの愛ある『おはよう』のひと言から全ての循環が始まります。 | あなたから出したものは全てあなたに循環します。減ることはありません。 | あなたの雰囲気、眼差し、言葉であなたの豊かな循環を広げましょう。,私は愛を受け取り私らしく手渡す循環に、真剣に取り組みます。 | 私は全ての人の全ての行動が愛を求めるか、愛を表現するためのものだと知っています。 | 私は全ての人の愛の表現や愛の渇望をジャッジしません。 | 私は私の真実の愛を私らしく循環します。
12,,循環,じゅんかん,Circulation,,,,,,あなたは全ての経験を通して全ての感情を味わうために生まれてきました。 | 表しかない紙はありません。善を経験するためには悪が必要でした。 | 元々はビックバンの一点から始まった私たち。すべての経験をするために、意識を分離させて、エゴのゲームの夢を見ていました。 | 元々ひとつであった存在が分かれて全てを経験した後には、分かれた存在が最初はひとつだったことを思い出します。,あなたが感情を味わえたのは、役を演じてくれた人がいたからです。 | あなたが経験と感情に満足し感謝すれば、あなたは簡単に目覚めます。 | あなたも目覚めてワンネスの感覚に生きることができます。 | あなたがイマココで目覚めるために先祖全員の命がありました。,私は全ての経験を通して、全ての感情を味わいたいと欲しました。 | 私は私の人生に参加してくれた全ての人たちに心から感謝します。 | 私は全ての経験と感情を味わい尽くしました。 | 私は目覚めることを選択します。
13,④－2,エネルギー,えねるぎー,Energy,,,,,,エネルギーは氣や感じと言い換えることができます。 | 人間は求めるものを得るために対価を支払います。表向きはモノやサービスですが、実際に求めるものはその背後にあるエネルギーです。 | 出したものが返ってくるのが宇宙の法則。よい感じやよい雰囲気の中で行動すれば、受け取るものはよいものだけです。,あなたが緩んだエネルギー状態でいることが愛そのものです。 | あなたは温泉のように湧き出る愛のエネルギーに直結しています。 | あなたは思い出すだけで、無限の愛のエネルギー循環ができます。 | 愛溢れる未来のあなたのエネルギーをイマ循環しましょう。,私は『ゆるゆる』が愛そのものであることを知っています。 | 私は『ゆるゆる』なエネルギー状態です。 | 私が『ゆるゆる』なエネルギー状態を維持することは簡単なことです。 | 私は私が『ゆるゆる』なエネルギー循環をすれば、私のエネルギーが増えていくことを知っています。
14,⑤－2,湧出,ゆうしゅつ,Gush Out,,,,,,宇宙に存在しているエネルギーは、マグマや温泉のように絶え間なく湧き出る愛のエネルギーです。 | 努力することなく自然に拡大していくのが宇宙と愛の本質。 | あなたが愛のエネルギーに直接つながれば、努力や無理は必要ありません | アゴを少し上げ顔を緩めて体感覚を感じると、あなたの思考は止みます。,あなたはあなたらしく、ただあなたの愛を表現してください。 | あなたは個性を発揮するための力を持っています。 | あなたがあなたの力を発揮することは、自然で簡単なことです。 | あなたが『ゆるゆる』なエネルギーの状態でいれば全てが輝きはじめます。,私はマグマや温泉のように、無限に湧き出る宇宙と地球の愛のエネルギーにつながります。 | 私は自分の個性を表現して、愛を自分らしく伝えます。 | 私は愛を伝えることにより、豊かさを受け取ります。 | 私は私が持つオリジナルの力を発揮して愛を伝えていきます。
15,⑥－2,純粋,じゅんすい,Pure,,,,,,目に見える命は限りがあります。三次元の肉体しかなければ、ただ単に消費して終わるだけの一度キリの人生です。 | 肉体は滅んでも魂は生き通し、あなたは永遠の命を持っています。 | 魂は生き通しだと知ると、三次元の目に見える命への執着から離れることができます。そして命はより豊かに輝きはじめます。,あなたの命はあなたに使い方が委ねられています。 | あなたが命への執着から離れると、不安と恐怖を見つめることができます。 | あなたが自分を尊ぶことにより、あなたは目覚めることができます。 | あなたが目覚めることにより、周囲に調和が広がっていきます。,私は肉体の命が有限だから、感情が生まれることを知っています。 | 私は肉体のもつ命に敬意を払い、感謝をもって日々を生きていきます。 | 私は魂が永遠の命を持つことを知っています。 | 私は永遠の命だと知ることにより、不安と恐怖を見つめることができます。
16,⑦－2,命,いのち,Life,,,,,,宇宙の波紋の中で最も純粋な波紋は、ビックバン一秒前に創造主が描いた宇宙の設計図の波紋です。 | 138億年前に創造主の意識の中に描かれた意図が、純粋な波紋として広がり続けています。 | あなたが自分の意図の純粋度を上げれば、あなたの意図の叶うスピードは上がっていきます。,あなたにはあなたにしか刻めない純粋な波紋のカタチがあります。 | あなたの純粋な波紋は、心臓を意識して魂とつながった時に広がります。 | あなたが理由や根拠もなくただやりたいことをやるのが、純粋さです。 | あなたが見る自然の美しさに、創造主の意図の純粋さを見つけられます。,私は宇宙が創造主の純粋な波紋による意図でできていることを知りました。 | 私は自分の力を活かして、オリジナルの純粋な波紋を広げていきます。 | 私は私の純粋な波紋を広げて豊かさを受け取ります。 | 私はただやりたいという純粋な思いに従って行動します。
17,⑨－2,体感覚,たいかんかく,Somatic Sensation,,,,,,あなたは目に見えない魂のメッセージを体感覚によって受け取ります。 | 魂の声を聴く生き方へシフトするために、体感覚へ意識を向けましょう。 | なんとなくいい感じがする、ゆるむ⇔なんとなく悪い感じがする、キュッと縮むという体感覚に意識を向けてみましょう。 | あなたは体感覚で『ゆるゆる』を感じてそれを表現できます。,あなたは体感覚を通して魂のメッセージを受け取っています。 | あなたの損得や合理性に基づく思考は、あなたに不調和をもたらします。 | あなたは体感覚に従った選択で、愛あふれた道を選ぶことができます。 | あなたの直感に間違いはありません。思考で直感を消さないでください。,私は体感覚を感じて魂のメッセージを受け取ります。 | 私は魂のメッセージを聴いて直感で選択をします。 | 私の魂につながった『ゆるゆる』な選択は自分と周りの命をみずみずしく輝かせていきます。 | 私はアゴを少し上げて顔の力を抜いて体感覚を感じます。
18,⑧－2,躍動,やくどう,Lively,,,,,,あなたが状況をいきいきと躍動感のある状態で描けば、意図は確実に現実化します。 | 新緑の伸びる様子や、生き生きと活動する野生動物の姿にあなたは躍動感を感じます。 | 未来の情景の色や形、香りや聞こえてくる音、感じる雰囲気をあなたが躍動感を感じながら具体的に映像化してみましょう。,あなたは10～17のカードを実行したときに躍動感を感じています。 | あなたが命の息吹を体感しながら意図を上げれば、それは現実化します。 | あなたが躍動する豊かさを意図し現実化することは、宇宙の願いです。 | あなたの愛を躍動感をもって表現し、豊かさを受け取りましょう。,私は宇宙が愛と命と躍動感に満ちていることを知っています。 | 私が宇宙の躍動感の波動に合わせた純粋な意図を上げれば、意図は現実化することを知りました。 | 私は私が豊かさを受け取る意図を上げて豊かさを現実化し、それを循環させます。
19,①－3,喜び,よろこび,Joy,3グループ,第二チャクラ,オレンジ,東,卯（6時）,あなたが自分の魂にとって喜びとなることを行うことが宇宙の喜びです。 | 喜びのモノサシは『人の不幸は蜜の味』など思考によってゆがめられている場合があります。 | 思考を手放し体感覚に意識を向けてみましょう。魂の喜びのモノサシに『人の不幸は蜜の味』がないことに気が付きます。,あなたが魂の喜びを表せば、ありのまま無条件の愛と共にあります。 | あなたは魂の喜びを感じ、表現するために生きています。 | あなたは魂の喜びを表現することにより、周囲に調和を広げていきます。 | あなたが魂の喜びと共にあれば、周囲の人が目覚めていきます。,私は私の魂が喜びと感じることだけをします。 | 私は自分の魂の喜びを大切にし、全ての人の喜びにも敬意を払います。 | 私は魂の喜びを感じながら生きていきます。 | 私は自然と周りにありのまま無条件の愛を広げていきます。
20,②－3,好み,このみ,Preference,,,,,,あなたが心地よさを感じている時『ゆるゆる』した心地よい雰囲気をまとっています。 | 損得や合理性ではなく、あなたの心地よさで選択をしましょう。 | ビックバン一秒前の原点を意識すれば、心地よさはいつもそこにあります。 | 心地よさの周りには豊かさと幸せがあふれています。,あなたの魂の声を聴く生き方をすれば、あなたは心地よさを感じます。 | あなたが心地よく生きれば、豊かさと健康はあなたのものです。 | あなたが心地よさを感じているとき、あなたは魂とつながっています。 | あなたが原点の愛を思い出すだけで、心地よさを感じることができます。,私は自分が心地よい選択をします。 | 私は心地よさを感じられるように環境を整えていきます。 | 私は私が自分の内側を心地よさで満たせば、周囲の環境が自然に整うことを知っています。 | 私は自分の心地よさを広げて、豊かさを受け取ります。
21,③－3,心地よさ,ここちよさ,Comfort,,,,,,あなたが自分を大切にするために自分の好みを最優先しましょう。 | 100人いれば100通りの好みがあります。あなたが自分の好みを大切にすれば、人の好みも大切にすることができます。 | 好みは依存や執着とは違っていて、軽さや柔らかさがあります。可能な範囲で好みを大切にしましょう。,あなたが好みを大切にすると、周囲には心地よさや快適さが広がります。 | あなたが好みを明確にすると、より心地よい環境が広がっていきます。 | あなたの好みの波動に応じたヒト・モノがあなたの周りに集まります。 | あなたが自分を大切にすると、豊かさが広がっていきます。,私は私自身の好みを大切にして、私と私の周囲に幸せと豊かさを広げていきます。 | 私は私の好みを大切にするので、他人の好みを大切にすることができます。 | 私は『強いて言えば』と自分に問いかけて、好みを明確にしていきます。 | 私は執着を好みに変えて軽さや柔らかさを手に入れます。
22,④－3,責任,せきにん,Responsibility,,,,,,責任は英語でResponsibility。Response（反応する）＋Ability（能力）です。あなたが出来事に対して、前向きに対応する能力が責任です。 | 起きる出来事をコントロールすることはできません。起きた出来事にどう対応するかはあなたがコントロールできます。 | 安心してください。『人間万事塞翁が馬』、『全ての逆境はそれと同等かそれ以上の利益の種を含んでいる』というのは宇宙の真理のひとつです。,あなたが責任を取り始めると、あなたの周囲には調和が広がります。 | あなたはどのような出来事に対しても、最適な対応をすることができます。 | あなたが責任を取れば、あなたは豊かさと健康と共にあります。 | あなたの逆境には、それと同等かそれ以上の利益の種を含んでいます。,私は父性の本質『できるよ』と、母性の本質『はぐくむ』の感性をもって全てを温かく観察し、出来事に対して前向きに対応する責任を取ります。 | 私はこの責任を取る力が、私の宇宙の全てを変える力を持っていることを知っています。 | 私は無力なフリを続けることをやめ、私の本来の力を発揮します。
23,⑤－3,あたえる,あたえる,Giving,,,,,,無限に湧き出るエネルギーをあたえることにより、あなたは豊かさを手に入れます。 | あなたが両親からあたえて欲しかったありのまま無条件の愛を、あなたが自分自身にあたえましょう。あなたがただ許可するだけでそれは可能です。 | あなたが魂の青写真に経験したいことと、味わいたい感情を記しました。今日までの全ての経験と感情はあなたが青写真で意図した通りでした。,あなたがありのまま無条件の愛であなたを包むことが全ての始まりです。 | あなたは今まで全てあなたの意図通りの人生を生きてきました。 | あなたが多くを受け取りたければ、周囲に多くをあたえましょう。 | あなたの愛は無限です。あなたの愛を大盤振る舞いしましょう。,私は宇宙が時計のように経験と感情を生むために、精密に動いていることを知っています。どの役柄の人も必要で大切な存在です。 | 私は私自身に対してありのまま無条件の愛をあたえます。 | 私は自分自身にあたえた、ありのまま無条件の愛を周囲に広げて豊かさを受け取ります。
24,⑥－3,ほっこり,ほっこり,Relief,,,,,,人は安定を求めて変化しないことが安心だと感じています。 | 地球はすごいスピードで宇宙を移動しています。 | 月は自転周期と地球を回る公転周期が同じなので、いつも同じ面を地球に向けて安定しています。 | 本当の安定は、月のように変化し続けることで得ることができます。,あなたは魂の声を聴いて変化を楽しみ、本当の安定を得てください。  | あなたが地球規模の視点を持てば、本当の安定を経験します。 | あなたが『ゆるゆる』していれば、自然に変化します。 | あなたは毎瞬、量子的飛躍をしている素粒子が集まった存在です。,私は『ゆるゆる』してしなやかに変化し続けます。 | 私は魂の声を聴いて変化をしつづけ、自分が求める安定を手に入れます。 | 私は季節に応じた旬のものを食事に取り入れ、健康を増進します。 | 私は変化し続けて豊かさと幸せと共にあることを選びます。
25,⑦－3,安定,あんてい,Stable,,,,,,あなたがほっこりした温かく感じる波紋を広げていくことは、周囲に幸せを振りまくことと同じ意味です。 | 命はもともと温かいので純粋に命のエネルギーに繋がれば、ほっこりすることは自然なことです。 | あなたがほっこりした状態に戻るためのスイッチを押しましょう。アゴを上げて顔の力を抜くことかもしれませんし、深呼吸かもしれません。,あなたがほっこりスイッチを押せば、ほっこりできます。 | あなたがほっこりした雰囲気を周囲に広げ、豊かさを受け取ってください。 | あなたが魂の声を聴いていれば、いつもほっこりしていられます。 | あなたのほっこりが世界平和につながっています。,私はほっこりしているので、私の周囲にほっこりを広げていきます。 | 私は『ゆるゆる』ほっこりしているので、周りに幸せと豊かさの波紋が広がっていきます。 | 私のほっこりは豊かさと健康に繋がっています。 | 私はいつでもほっこりスイッチを押して、ほっこりできます。
26,⑨－3,幸福,こうふく,Happiness,,,,,,あなたの魂が求めているコトを体験し、求めているモノを手に入れることで、あなたは幸福を感じます。 | 自分が何に幸福を感じるのかは百人百様です。 | あなたが自分の幸福を実現するために、あなたの魂の声に耳を傾けて選択をしましょう。,あなたがエゴのゲームの夢から覚めることは、あなたの魂が望んでいます。 | あなたがビックバン一秒前の原点で、あなたの魂の青写真を書きました。 | あなたがあなたになるためには、先祖全員の経験と感情が必要でした。 | あなたがイマココで幸福であれば、先祖全員も幸福です。,私は全ての人が最適最善な幸福への道を歩んでいることを知っています。 | 私は不調和に見えることも、大調和のための通過点だと知っています。 | 私は経験を通して全ての感情を味わったので目覚めることを選択します。 | 私は自分が目覚めることにより全体最適な幸福の波紋を広げます。
27,⑧－3,畏敬,いけい,Awe,,,,,,大自然の景色を見て息をのむ瞬間、真っ赤な夕日が海に落ちていく瞬間、あなたは畏敬の念を自然に感じています。 | 自然に対して感じている畏敬の念を、あなたはすべての命に向けることができます。 | あなたが向けた畏敬の念は奇跡の材料です。,あなたは19～26のカードを実行したときに畏敬の念を感じます。 | あなたがあなたとして生まれてくる可能性は宝くじよりも低い確率でした。 | あなたが抱いた畏敬の念は波紋のように周囲に広がっていきます。 | あなたが畏敬の念を抱くと、奇跡が起きます。,私は宇宙に命の奇跡がちりばめられていることを知っています。 | 私は命の奇跡を畏敬の念をもって見つめます。 | 私は私が見た通りに物事が現実化することを知っています。 | 私が畏敬の念をもって映像化したことは、畏敬の念を伴って現実化します。
28,①－4,力,ちから,Power,4グループ,第三チャクラ,黄色,南東,巽（9時）,全ての人間は等しく力を持っています。力は使わないと発揮されません。 | あなたが力や達成感を体感するために、一度力を忘れて無力になる必要がありました。 | 力はすでに持っているので、いつでも思い出して使うことができます。 | 力は繰り返し使うことにより、強くなります。,あなたが力を使うことを選択し、循環させれば豊かさになります。 | あなたが達成感を手放せば、力は発揮され目的がスムーズに達成されます。 | あなたが力を使うと決めれば、それに応じた状況が起きてきます。 | あなたが使いたい力を持つ人をオマージュすれば、その人の持つ力はあなたのものです。,私は『私ほど○○な力を持っている人は他にはいません』と宣言して、様々な力を自分のものとして使っていきます。 | 私は力を持っています。私はその力を思い出し使うだけです。 | 私ほど私の人生を思い通りに生きる力を持った人は他にはいません。 | 私は自身の力を使って私らしく豊かになっていきます。
29,②－4,感情,かんじょう,Emotion,,,,,,父性の本質を一言であらわすと『できるよ』となります。 | 『できるよ』というのは時間を超える能力です。 | 相手の可能性を信じ、ゴールに到達することを信じ、無条件に応援する言葉です。 | あなたが未来の時間をイマココで観てそれをありありと描き、相手にあなたの知っている未来を『できるよ』と応援する姿勢です。,あなたの『できるよ』は相手をゴールに連れていく魔法です。 | あなたは未来からイマココを見て言葉を紡ぎます。 | あなたの描いた未来と意図はイマココにあります。 | あなたが『できるよ』と思うだけですべてがスムーズに進みます。,私は自分が『できている』未来を明確にイメージして、その未来から、『できるよ』の父性の本質で全ての人々を応援します。 | 私は意図したことは不安や恐怖がなければ、実現することを知っています。 | 私は温かい『できるよ』の姿勢で意図の実現をサポートします。 | 私の『できるよ』の雰囲気は周囲に癒しを広げます。
30,③－4,できるよ,できるよ,You Can Do It!,,,,,,経験を通して人間は感情を味わいます。あなたの肉体が滅んで持って帰れるのは、少しの経験の記憶と感情だけです。 | 不安と恐怖が動機ならば、あなたは不安と恐怖を結果として受け取ります。 | 経験を通して感情を味わうことがあなたの第一の目的です。 | あなたは世界で起きていることは、何ひとつジャッジできないことに気が付きます。経験を通して、感情を味わうことが第一の目的だからです。,あなたは経験を通して感情を味わうために生まれてきました。 | あなたは感情に流されることも、感情を流すことも選択できます。 | あなたの魂の声を聴けば、感情を流すことは簡単です。 | あなたは感情に流されれば、魂の青写真、エゴのゲームに没頭できます。,私は全ての経験を通して全て感情を味わうために生きています。 | 私が味わった感情はもう十分となった時点で、トイレに流すように流してしまいます。 | 私は不要な感情を流してため込まないことにより、私の人間関係や健康に調和をもたらしていきます。
31,④－4,関数,かんすう,Function,,,,,,関数はコーラのボタンを押せばコーラがでる自販機に例えられます。 | この世界はすべて原因と結果で、その間には一定の関数が存在しています。 | どのような関数が存在しているかを見つければ、あなたが結果を得るのは簡単です。 | どのボタンを押して何が出てきたのかを観察しましょう。,あなたはなぜコーラなんだと嘆く前に、ボタンを押した事に気が付きます。 | あなたが関数を見つければ見つけるほど、あなたは洗練されていきます。 | あなたが関数を見つけるためには冷静な第三者の視点で眺めましょう。 | あなたは意図と行動が関数のだいじな要素であることに気づきます。,私は自分が出したものを受け取るという宇宙の関数に敬意を払います。 | 私は人に影響を与えている関数を観察します。 | 私は関数を観察して出来事の奥にある意図を見つけます。 | 私は私が望むものだけを私から出すことを意図します。
32,⑤－5,因果,いんが,Cause and Effect,,,,,,結果を変えたいなら、イマ起きていることを抵抗しないでそのまま受け取ってください。 | そのまま受け取ればあなたは冷静に関数を見出すことができます。 | 愛と調和に基づいてあなたの意図を上げれば、あなたの望む未来が現実化します。,あなたの受け取った現実は、あなたが過去に意図した結果です。 | あなたの魂の青写真にあなたの人生の意図の全てが刻まれています。 | あなたは結果を変えようとイマ足掻いても、何も変えることはできません。 | あなたができることは結果を受け取り、新たな意図を上げることです。,私は因果の法則が宇宙を支配していることを知っています。 | 私はその結果が起きた原因に意識を向けます。 | 宇宙で起きていることは138億年前に創造主が意図したことです。 | 私は魂の青写真を私の意図によって上書きできるので、魂の青写真をキャンセルして今の自分が望むように上書きします。
33,⑥－4,ユーモア,ゆーもあ,Humor,,,,,,道を極めた達人は想像を絶するような努力を積み上げています。その人自身にとっては、純粋に『やりたいからやり続けてきたこと』です。 | 達人は『ネバベキ』の努力から離れています。 | 奇跡は人との出会いからはじまります。 | 人との出会いに努力は必要ありません。,あなたは自分に努力を要求するのを止めましょう。 | あなたがやりたいと思うようになるまで、ゆっくり観察しましょう。  | あなたの努力を超えたところに全てのストーリーの鍵があります。 | あなたがその鍵を手に入れるためには、思考による努力を止めて魂の声を聴くことをはじめましょう。,私は思考による努力から離れて私の魂の声を聴きます。 | 私は魂の声を聴いて純粋にやりたいことを続けます。 | 私はやりたいからやる、させていただいてありがたいという姿勢で行動して心地よい雰囲気でいることを選択します。 | 私はやりたいからやるを続けて、想像もできない未来に到着します。
34,⑦－4,努力,どりょく,Endeavor,,,,,,人を和ませる笑い、ユーモアは温かく柔らかい波紋を周囲に広げます。 | 深刻さから離れ真剣さの中にユーモアを見出しましょう。 | どんなに深刻に見えるような状況でも第三者の視点で見るとユーモアの種を見つけることができます。 | ユーモアは可愛さを連れてきます。ユーモアあふれるあなたは人から可愛いといわれるでしょう。,あなたにはあなたのユーモアのセンスがあります。 | あなたが人を笑顔にすれば、あなたはドンドン豊かになっていきます。 | あなたが持つユーモアが周りにリラックスを広げます。 | あなたが『ゆるゆる』してユーモアを広げることが宇宙の喜びです。,私はユーモアが私と周囲に豊かさをもたらすことを知っています。 | 私のユーモアは周囲に『ゆるゆる』した幸福感をもたらします。 | 私はユーモアと一緒なのでいつもリラックスしています。 | 私は私が笑顔でいることが、周囲に笑顔を広げていくことを知っています。
